1	Viêm_Phần_Phụ_Có	Nc	O	3	sub
2	Thai	Np	O	1	nmod
3	Được	V	O	0	root
4	Không	R	O	3	adv
5	?	CH	O	3	punct
1	[	CH	O	7	punct
2	CHUYÊN_GIA	Ny	O	7	sub
3	GIẢI_ĐÁP	Ny	O	2	nmod
4	]	CH	O	2	punct
5	Viêm	Np	O	2	nmod
6	phần_phụ	N	O	5	nmod
7	có_thai	V	O	0	root
8	được	R	O	7	adv
9	không	R	O	10	adv
10	là	V	O	7	vmod
11	mối	N	O	10	dob
12	quan_tâm	V	O	11	nmod
13	hàng_đầu	N	O	11	nmod
14	của	E	O	11	nmod
15	các	L	O	16	det
16	chị_em	N	O	14	pob
17	khi	N	O	10	tmp
18	không	R	O	19	amod
19	may	A	O	17	nmod
20	mắc	V	O	19	vmod
21	phải	V	O	20	vmod
22	căn_bệnh	N	O	21	dob
23	này	P	O	22	det
24	.	CH	O	7	punct
1	Bởi_vì	E	O	0	root
2	viêm	N	O	1	pob
3	phần_phụ	N	O	2	nmod
4	liên_quan	V	O	2	nmod
5	trực_tiếp	A	O	4	vmod
6	đến	E	O	4	vmod
7	các	L	O	8	det
8	cơ_quan	N	O	6	pob
9	sinh_sản	V	O	8	nmod
10	như	C	O	8	coord
11	vòi	N	O	10	conj
12	trứng	N	O	11	nmod
13	,	CH	O	11	punct
14	buồng_trứng	N	O	11	nmod
15	,	CH	O	11	punct
16	dây_chằng	N	O	11	nmod
17	rộng	A	O	16	nmod
18	.	CH	O	17	punct
1	Hãy	R	O	2	amod
2	cùng	A	O	0	root
3	lắng_nghe	V	O	2	vmod
4	chuyên_gia	N	O	3	dob
5	giải_đáp	V	O	4	nmod
6	và	Cc	O	3	coord
7	gợi_ý	V	O	6	conj
8	phương_pháp	N	O	7	dob
9	xử_lý	V	O	8	nmod
10	bệnh	N	O	9	vmod
11	trong	E	O	9	vmod
12	những	L	O	13	det
13	nội_dung	N	O	11	pob
14	ngay	T	O	15	nmod
15	sau	N	O	13	tmp
16	đây	P	O	15	det
17	.	CH	O	16	punct
1	Viêm	N	O	3	sub
2	phần_phụ	N	O	1	nmod
3	có_thai	V	O	0	root
4	được	R	O	3	adv
5	không	R	O	3	adv
6	?	CH	O	3	punct
1	Theo	E	O	9	adv
2	các	L	O	3	det
3	chuyên_gia	N	O	1	pob
4	sản_phụ	N	O	3	nmod
5	khoa	N	O	4	nmod
6	,	CH	O	4	punct
7	viêm	N	O	4	nmod
8	phần_phụ	N	O	7	nmod
9	là	V	O	0	root
10	bệnh	N	O	9	dob
11	phụ_khoa	N	O	10	nmod
12	rất	R	O	13	adv
13	phổ_biến	V	O	10	nmod
14	hiện_nay	N	O	13	dob
15	.	CH	O	9	punct
1	Căn_bệnh	N	O	4	sub
2	này	P	O	1	det
3	sẽ	R	O	4	adv
4	gây	V	O	0	root
5	ảnh_hưởng	V	O	4	vmod
6	nhất_định	R	O	5	adv
7	đến	E	O	5	vmod
8	khả_năng	N	O	7	pob
9	sinh_sản	V	O	8	nmod
10	của	E	O	8	nmod
11	nữ_giới	N	O	10	pob
12	vì	E	O	5	prp
13	tình_trạng	N	O	11	nmod
14	viêm_nhiễm	V	O	13	nmod
15	xảy	V	O	14	vmod
16	ra	V	O	15	adv
17	ở	E	O	15	loc
18	các	L	O	19	det
19	bộ_phận	N	O	17	pob
20	quan_trọng	A	O	19	nmod
21	liên_quan	V	O	19	nmod
22	đến	E	O	21	vmod
23	chức_năng	N	O	22	pob
24	sinh_sản	V	O	23	nmod
25	của	E	O	23	nmod
26	nữ_giới	N	O	25	pob
27	.	CH	O	4	punct
1	Viêm	N	O	3	sub
2	phần_phụ	N	O	1	nmod
3	có_thai	V	O	0	root
4	được	R	O	3	adv
5	không	R	O	3	adv
6	?	CH	O	3	punct
1	–	CH	O	2	punct
2	Theo	V	O	0	root
3	các	L	O	4	det
4	chuyên_gia	N	O	2	dob
5	,	CH	O	4	punct
6	bệnh_lý	N	O	4	nmod
7	phụ_khoa	N	O	6	nmod
8	này	P	O	4	det
9	sẽ	R	O	10	adv
10	ảnh_hưởng	V	O	2	vmod
11	đến	E	O	10	vmod
12	quá	R	O	13	nmod
13	quá_trình	N	O	11	pob
14	sản_sinh	N	O	13	nmod
15	trứng	N	O	14	nmod
16	và	Cc	O	10	coord
17	rụng	V	O	16	conj
18	trứng	N	O	17	dob
19	nếu	C	O	22	dep
20	vùng	N	O	22	sub
21	tổn_thương	N	O	20	nmod
22	là	V	O	18	nmod
23	ở	E	O	22	loc
24	buồng_trứng	N	O	23	pob
25	.	CH	O	2	punct
1	Bệnh	N	O	3	sub
2	cũng	R	O	3	adv
3	gây	V	O	0	root
4	cản_trở	V	O	3	vmod
5	việc	N	O	4	dob
6	thụ_tinh	N	O	5	nmod
7	nếu	C	O	3	coord
8	vòi	N	O	10	sub
9	trứng	N	O	8	nmod
10	bị	V	O	7	conj
11	viêm_nhiễm	V	O	10	vmod
12	,	CH	O	3	punct
13	sưng	V	O	3	vmod
14	nề	V	O	13	vmod
15	,	CH	O	3	punct
16	tắc_nghẽn	V	O	3	vmod
17	.	CH	O	3	punct
1	Đặc_biệt	A	O	4	adv
2	nếu	C	O	4	dep
3	không	R	O	4	adv
4	chữa_trị	V	O	0	root
5	tốt	A	O	4	vmod
6	,	CH	O	4	punct
7	khả_năng	N	O	11	sub
8	vô_sinh	A	O	7	nmod
9	,	CH	O	8	punct
10	hiếm_muộn	A	O	8	amod
11	là	V	O	4	dep
12	nguy_cơ	N	O	11	dob
13	chị_em	N	O	12	nmod
14	mắc	V	O	12	nmod
15	bệnh	N	O	14	dob
16	hoàn_toàn	A	O	18	vmod
17	có_thể	R	O	18	adv
18	gặp	V	O	4	vmod
19	.	CH	O	4	punct
1	Bởi_vì	E	O	0	root
2	viêm_nhiễm	N	O	3	sub
3	kéo_dài	V	O	1	dep
4	thúc_đẩy	V	O	3	vmod
5	hình_thành	V	O	4	vmod
6	các	L	O	7	det
7	ổ	N	O	5	dob
8	áp	V	O	7	nmod
9	xe	N	O	7	nmod
10	tại	E	O	7	loc
11	vòi	N	O	10	pob
12	trứng	N	O	11	nmod
13	,	CH	O	11	punct
14	buồng_trứng	N	O	11	nmod
15	,	CH	O	11	punct
16	dây_chằng	N	O	11	nmod
17	rộng	A	O	16	nmod
18	.	CH	O	17	punct
1	Khi	N	O	6	tmp
2	đó	P	O	1	det
3	vòi	N	O	6	sub
4	trứng	N	O	3	nmod
5	dễ	A	O	3	nmod
6	bị	V	O	0	root
7	viêm	N	O	8	sub
8	dính	V	O	6	vmod
9	,	CH	O	6	punct
10	ống	N	O	8	dob
11	dẫn	V	O	10	nmod
12	trứng	N	O	11	dob
13	dễ	A	O	12	nmod
14	bị	V	O	13	vmod
15	viêm	N	O	16	sub
16	tắc	V	O	14	vmod
17	và	Cc	O	16	coord
18	để	V	O	17	conj
19	lại	R	O	18	adv
20	sẹo	N	O	18	dob
21	.	CH	O	6	punct
1	Do_vậy	C	O	5	dep
2	quá_trình	N	O	5	sub
3	thụ_tinh	N	O	2	nmod
4	không_thể	R	O	5	adv
5	diễn	V	O	0	root
6	ra	R	O	5	adv
7	bình_thường	A	O	5	vmod
8	.	CH	O	5	punct
1	Nếu	C	O	2	dep
2	áp	V	O	0	root
3	xe	N	O	2	dob
4	xảy	V	O	2	vmod
5	ra	V	O	4	adv
6	ở	E	O	4	loc
7	buồng_trứng	N	O	6	pob
8	,	CH	O	2	punct
9	người_bệnh	N	O	10	sub
10	cần	V	O	2	dep
11	phẫu_thuật	V	O	10	vmod
12	cắt	V	O	11	vmod
13	bỏ	V	O	12	vmod
14	.	CH	O	2	punct
1	Một_khi	X	O	6	xmdp
2	cả	P	O	4	nmod
3	hai	M	O	4	det
4	buồng_trứng	N	O	6	sub
5	đều	R	O	6	adv
6	bị	V	O	0	root
7	cắt	V	O	6	vmod
8	đi	R	O	7	adv
9	,	CH	O	6	punct
10	phụ_nữ	N	O	12	sub
11	sẽ	R	O	12	adv
12	bị	V	O	6	dep
13	vô_sinh	A	O	12	vmod
14	.	CH	O	6	punct
