1	Viêm_Cổ_Tử_Cung	Np	B-PER	2	sub
2	Có	V	O	0	root
3	Quan_Hệ	Np	O	2	dob
4	Được	Np	O	3	nmod
5	Không	R	O	2	adv
6	?	CH	O	2	punct
1	[	CH	O	8	punct
2	CHUYÊN_GIA	Ny	O	8	sub
3	GIẢI_ĐÁP	Ny	O	2	nmod
4	]	CH	O	2	punct
5	Viêm	Np	O	2	nmod
6	cổ	A	O	5	nmod
7	tử_cung	N	O	5	nmod
8	có	V	O	0	root
9	quan_hệ	N	O	8	dob
10	được	R	O	12	adv
11	không	R	O	12	adv
12	là	V	O	8	vmod
13	băn_khoăn	A	O	12	vmod
14	của	E	O	12	vmod
15	rất	R	O	17	nmod
16	nhiều	A	O	17	nmod
17	chị_em	N	O	14	pob
18	phụ_nữ	N	O	17	nmod
19	.	CH	O	8	punct
1	Bởi_vì	C	O	3	dep
2	mặc_dù	C	O	3	dep
3	mắc	V	O	0	root
4	bệnh	N	O	3	dob
5	nhưng	C	O	3	coord
6	nhu_cầu	N	O	8	sub
7	sinh_lý	N	O	6	nmod
8	là	V	O	5	conj
9	vấn_đề	N	O	8	dob
10	cần_thiết	A	O	9	nmod
11	đối_với	E	O	9	nmod
12	mọi	L	O	13	det
13	người	N	O	11	pob
14	.	CH	O	3	punct
1	Hãy	R	O	2	amod
2	cùng	A	O	0	root
3	tìm_hiểu	V	O	2	vmod
4	ngay	R	O	3	adv
5	những	L	O	6	det
6	nội_dung	N	O	3	dob
7	dưới	E	O	6	nmod
8	đây	P	O	7	pob
9	để	E	O	3	prp
10	được	V	O	9	vmod
11	giải_đáp	V	O	10	vmod
12	cụ_thể	A	O	11	vmod
13	nhé	T	O	11	vmod
14	.	CH	O	11	punct
1	Viêm	N	O	4	sub
2	cổ	N	O	1	nmod
3	tử_cung	N	O	1	nmod
4	có	V	O	0	root
5	quan_hệ	N	O	4	dob
6	được	R	O	4	adv
7	không	R	O	4	adv
8	?	CH	O	4	punct
1	Viêm	N	O	4	sub
2	cổ	N	O	1	nmod
3	tử_cung	N	O	2	nmod
4	là	V	O	0	root
5	tình_trạng	N	O	4	dob
6	viêm_nhiễm	V	O	5	nmod
7	tại	E	O	6	loc
8	cổ	N	O	7	pob
9	tử_cung	N	O	8	nmod
10	do	E	O	5	prp
11	sự	N	O	7	pob
12	tác_động	V	O	11	nmod
13	trực_tiếp	A	O	12	vmod
14	của	E	O	11	nmod
15	nhiều	A	O	16	nmod
16	tác_nhân	N	O	14	pob
17	như	C	O	16	coord
18	vi_khuẩn	N	O	17	conj
19	,	CH	O	18	punct
20	nấm	N	O	18	nmod
21	,	CH	O	18	punct
22	trùng_roi	N	O	18	nmod
23	…	CH	O	4	punct
1	Tổn_thương	N	O	5	sub
2	tại	E	O	1	loc
3	cổ	N	O	2	pob
4	tử_cung	N	O	3	nmod
5	khiến	V	O	0	root
6	nhiều	A	O	7	nmod
7	chị_em	N	O	5	dob
8	dè_dặt	A	O	7	nmod
9	trong	E	O	7	nmod
10	chuyện	N	O	9	pob
11	quan_hệ	N	O	10	nmod
12	,	CH	O	5	punct
13	nhưng	C	O	5	coord
14	cũng	R	O	15	adv
15	có	V	O	13	conj
16	không	R	O	18	nmod
17	ít	A	O	18	nmod
18	chị_em	N	O	20	sub
19	vẫn	R	O	20	adv
20	có	V	O	15	vmod
21	nhu_cầu	N	O	20	dob
22	sinh_lý	N	O	21	nmod
23	bình_thường	A	O	21	nmod
24	.	CH	O	5	punct
1	Vậy	P	O	5	dep
2	viêm	N	O	5	sub
3	cổ	N	O	2	nmod
4	tử_cung	N	O	2	nmod
5	có	V	O	0	root
6	quan_hệ	N	O	5	dob
7	được	R	O	5	adv
8	không	R	O	5	adv
9	?	CH	O	5	punct
1	Theo	E	O	0	root
2	các	L	O	3	det
3	bác_sĩ	N	O	1	pob
4	,	CH	O	3	punct
5	quyết_định	V	O	3	nmod
6	sinh_hoạt	V	O	5	vmod
7	tình_dục	N	O	6	vmod
8	trong	E	O	6	tmp
9	quá_trình	N	O	8	pob
10	mắc	V	O	9	nmod
11	bệnh	N	O	10	vmod
12	nằm	V	O	9	nmod
13	ở	E	O	12	loc
14	chính	T	O	15	nmod
15	chị_em	N	O	13	pob
16	phụ_nữ	N	O	15	nmod
17	.	CH	O	15	punct
1	Tuy_nhiên	C	O	7	dep
2	các	L	O	3	det
3	bác_sĩ	N	O	7	sub
4	khuyến_cáo	V	O	3	nmod
5	người_bệnh	N	O	4	dob
6	không	R	O	7	adv
7	nên	V	O	0	root
8	quan_hệ	N	O	7	dob
9	trong	E	O	8	nmod
10	thời_gian	N	O	9	pob
11	này	P	O	10	det
12	.	CH	O	7	punct
1	Bởi_vì	E	O	0	root
2	việc	N	O	6	sub
3	quan_hệ	V	O	2	nmod
4	tình_dục	N	O	3	vmod
5	chưa	R	O	6	amod
6	chắc	A	O	1	dep
7	đáp_ứng	V	O	6	vmod
8	được	R	O	7	adv
9	sự	Nc	O	7	dob
10	thoả_mãn	V	O	9	nmod
11	về	E	O	9	nmod
12	sinh_lý	N	O	11	pob
13	,	CH	O	6	punct
14	nhưng	C	O	6	dep
15	chắc_chắn	A	O	17	dep
16	sẽ	R	O	17	adv
17	gây	V	O	6	dep
18	ra	V	O	17	adv
19	nhiều	A	O	20	nmod
20	ảnh_hưởng	N	O	17	dob
21	tiêu_cực	A	O	20	nmod
22	hơn	A	O	21	amod
23	:	CH	O	20	punct
24	Viêm	N	O	20	nmod
25	cổ	N	O	24	nmod
26	tử_cung	N	O	24	nmod
27	trầm_trọng	A	O	24	nmod
28	hơn	A	O	27	amod
29	:	CH	O	20	punct
30	Quan_hệ	N	O	20	nmod
31	tình_dục	N	O	30	nmod
32	làm	V	O	30	nmod
33	tăng	V	O	32	vmod
34	ma_sát	N	O	33	dob
35	và	Cc	O	34	coord
36	lực	N	O	35	conj
37	đối_với	E	O	33	vmod
38	âm_đạo	N	O	37	pob
39	và	Cc	O	38	coord
40	cổ	N	O	39	conj
41	tử_cung	N	O	40	nmod
42	.	CH	O	37	punct
1	Khi	N	O	3	tmp
2	đó	P	O	1	det
3	viêm_nhiễm	V	O	0	root
4	có_thể	R	O	5	adv
5	bị	V	O	3	vmod
6	loét	V	O	5	vmod
7	,	CH	O	5	punct
8	rỉ	V	O	5	vmod
9	máu	N	O	8	dob
10	,	CH	O	5	punct
11	gây	V	O	5	vmod
12	xuất_huyết	V	O	11	vmod
13	âm_đạo	N	O	11	dob
14	.	CH	O	3	punct
1	Quan_hệ	N	O	4	sub
2	tình_dục	N	O	1	nmod
3	cũng	R	O	4	adv
4	khiến	V	O	0	root
5	vi_khuẩn	N	O	4	dob
6	và	Cc	O	5	coord
7	tạp	N	O	6	conj
8	trùng	V	O	5	nmod
9	có	V	O	8	vmod
10	điều_kiện	N	O	9	dob
11	đi_sâu	V	O	10	nmod
12	hơn	A	O	11	vmod
13	vào	E	O	11	vmod
