1	NHỮNG	Ny	B-PER	9	sub
2	ĐIỀU	Ny	I-PER	1	nmod
3	CẦN	Ny	O	1	nmod
4	BIẾT	Ny	O	1	nmod
5	NẾU	Ny	O	1	nmod
6	PHẢI	Ny	O	1	nmod
7	PHẪU_THUẬT	Ny	O	1	nmod
8	TIM.Chuẩn	Np	O	1	nmod
9	bị	V	O	0	root
10	tốt	A	O	9	vmod
11	cho	E	O	9	vmod
12	phẫu_thuật	V	O	11	vmod
13	là	V	O	9	vmod
14	một	M	O	13	vmod
15	trong	E	O	14	pmod
16	những	L	O	17	det
17	điều_kiện	N	O	15	pob
18	tiên_quyết	A	O	17	nmod
19	cho	E	O	17	nmod
20	sự	N	O	19	pob
21	thành_công	V	O	20	nmod
22	của	E	O	20	nmod
23	thủ_thuật	N	O	22	pob
24	.	CH	O	9	punct
1	Khi	N	O	5	tmp
2	biết	V	O	1	nmod
3	được	R	O	2	adv
4	tại_sao	X	O	5	x
5	phải	V	O	0	root
6	thực_hiện	V	O	5	vmod
7	một	M	O	8	det
8	loạt	N	O	6	dob
9	biện_pháp	N	O	8	nmod
10	theo_dõi	V	O	8	nmod
11	và	Cc	O	10	coord
12	điều_trị	V	O	11	conj
13	,	CH	O	5	punct
14	chúng_ta	P	O	16	sub
15	sẽ	R	O	16	adv
16	dự_kiến	V	O	5	dep
17	được	R	O	16	adv
18	những	L	O	19	det
19	gì	P	O	16	dob
20	sẽ	R	O	21	adv
21	xảy	V	O	19	vmod
22	ra	V	O	21	adv
23	trong	E	O	21	loc
24	,	CH	O	5	punct
25	sau	N	O	29	sub
26	phẫu_thuật	V	O	25	nmod
27	và	Cc	O	5	coord
28	sẽ	R	O	29	adv
29	chủ_động	V	O	27	conj
30	được	R	O	29	adv
31	cách	N	O	29	dob
32	sinh_hoạt	V	O	31	nmod
33	như_thế_nào	X	O	31	x
34	cho	E	O	29	iob
35	hợp_lý	A	O	34	dep
36	.	CH	O	5	punct
1	Những	L	O	2	det
2	điều	N	O	10	sub
3	cần	V	O	2	nmod
4	biết	V	O	3	vmod
5	trước	E	O	3	tmp
6	khi	N	O	5	pob
7	phẫu_thuật	V	O	6	nmod
8	Bệnh_nhân	N	O	10	sub
9	sẽ	R	O	10	adv
10	nhập_viện	V	O	0	root
11	vài	L	O	12	det
12	ngày	N	O	10	tmp
13	trước	E	O	12	nmod
14	phẫu_thuật	N	O	13	pob
15	để	E	O	10	prp
16	chuẩn_bị	V	O	15	vmod
17	cho	E	O	16	vmod
18	ca	N	O	17	pob
19	mổ	V	O	18	nmod
20	và	Cc	O	10	coord
21	gặp	V	O	20	conj
22	bác_sĩ	N	O	21	dob
23	,	CH	O	22	punct
24	điều_dưỡng	V	O	22	nmod
25	...	CH	O	10	punct
26	,	CH	O	10	punct
27	những	L	O	28	det
28	người	N	O	30	sub
29	sẽ	R	O	30	adv
30	chăm_sóc	V	O	10	dep
31	trong	E	O	30	vmod
32	và	Cc	O	31	coord
33	sau	E	O	32	conj
34	phẫu_thuật	N	O	33	pob
35	.	CH	O	10	punct
1	Các	L	O	2	det
2	bác_sĩ	N	O	4	sub
3	luôn	R	O	4	adv
4	cố_gắng	V	O	0	root
5	nhằm	V	O	4	prp
6	làm	V	O	5	vmod
7	giảm	V	O	6	vmod
8	nguy_cơ	N	O	7	dob
9	phải	V	O	8	nmod
10	truyền	V	O	9	vmod
11	máu	N	O	10	dob
12	trong	E	O	10	loc
13	phẫu_thuật	N	O	12	pob
14	,	CH	O	4	punct
15	nhưng	C	O	4	coord
16	một_số	L	O	17	det
17	bệnh_nhân	N	O	20	sub
18	vẫn	R	O	20	adv
19	sẽ	R	O	20	adv
20	cần	V	O	15	conj
21	phải	V	O	20	vmod
22	truyền	V	O	21	vmod
23	máu	N	O	22	dob
24	.	CH	O	4	punct
1	Bệnh_nhân	N	O	3	sub
2	có_thể	R	O	3	adv
3	được	V	O	0	root
4	yêu_cầu	V	O	3	vmod
5	lấy	V	O	4	vmod
6	máu	N	O	5	dob
7	của	E	O	6	nmod
8	chính	T	O	9	nmod
9	mình	P	O	7	pob
10	để	E	O	5	prp
11	dự_trữ	V	O	10	vmod
12	,	CH	O	3	punct
13	để	E	O	3	prp
14	phòng	V	O	13	vmod
15	trường_hợp	N	O	14	vmod
16	cần	V	O	15	nmod
17	phải	V	O	16	vmod
18	truyền	V	O	17	vmod
