1	U	Ny	O	4	sub
2	phì	N	O	1	nmod
3	đại	A	O	1	nmod
4	lành_tính	V	O	0	root
5	tuyến	N	O	4	dob
6	tiền	N	O	5	nmod
7	liệt.U	Np	O	5	nmod
8	phì	V	O	4	vmod
9	đại	R	O	8	adv
10	lành_tính	N	O	8	dob
11	tuyến_tiền_liệt	N	O	10	nmod
12	Những	L	O	13	det
13	điều	N	O	11	vmod
14	cần	V	O	13	nmod
15	biết	V	O	14	vmod
16	về	E	O	14	vmod
17	phì	N	O	16	pob
18	đại	Z	O	19	nmod
19	tuyến_tiền_liệt	N	O	17	nmod
20	Bệnh	N	O	17	nmod
21	phì	N	O	20	nmod
22	đại	V	O	19	nmod
23	tuyến_tiền_liệt	N	O	22	dob
24	hay	C	O	23	coord
25	u_xơ	N	O	24	conj
26	tiền_liệt_tuyến	N	O	25	nmod
27	ngoài	E	O	22	vmod
28	việc	N	O	27	pob
29	gây	V	O	28	nmod
30	ảnh_hưởng	V	O	29	vmod
31	đến	E	O	30	vmod
32	các	L	O	33	det
33	hoạt_động	N	O	31	pob
34	thể_chất	N	O	33	nmod
35	của	E	O	33	nmod
36	người_bệnh	N	O	35	pob
37	,	CH	O	4	punct
38	còn	C	O	4	coord
39	gây	V	O	38	conj
40	ra	V	O	39	adv
41	mối	N	O	39	dob
42	lo_ngại	V	O	41	nmod
43	lớn	A	O	41	nmod
44	...	CH	O	4	punct
1	Nguyên_nhân	N	O	0	root
2	gây	V	O	1	nmod
3	u_xơ	N	O	2	dob
4	tuyến_tiền_liệt	N	O	3	nmod
5	.	CH	O	1	punct
1	U_xơ	N	O	3	sub
2	tiền_liệt_tuyến	N	O	1	nmod
3	là	V	O	0	root
4	căn_bệnh	N	O	3	vmod
5	thường	R	O	6	adv
6	gặp	V	O	4	nmod
7	ở	E	O	6	loc
8	nam_giới	N	O	7	pob
9	lứa	N	O	8	nmod
10	tuổi	N	O	9	nmod
11	trung_niên	A	O	8	nmod
12	.	CH	O	3	punct
1	Tại	E	O	3	loc
2	Việt_Nam	Np	B-LOC	1	pob
3	có	V	O	0	root
4	trên	A	O	6	nmod
5	60%	M	O	6	det
6	nam_giới	N	O	3	dob
7	trên	E	O	6	loc
8	60	M	O	9	det
9	tuổi	N	O	7	pob
10	mắc	V	O	9	nmod
11	bệnh	N	O	10	dob
12	này	P	O	11	det
13	.	CH	O	3	punct
1	Vì_vậy	C	O	4	dep
2	,	CH	O	3	punct
3	nam_giới	N	O	0	root
4	tuổi	N	O	3	nmod
5	...	CH	O	3	punct
1	Các	L	O	2	det
2	biến_chứng	N	O	0	root
3	của	E	O	2	nmod
4	u_xơ	N	O	3	pob
5	tiền_liệt_tuyến	N	O	4	nmod
6	.	CH	O	2	punct
1	U_xơ	N	O	8	sub
2	tiền_liệt_tuyến	N	O	1	nmod
3	hay	C	O	1	coord
4	phì	N	O	3	conj
5	đại	V	O	4	nmod
6	lành_tính	N	O	5	dob
7	tiền_liệt_tuyến	N	O	6	nmod
8	là	V	O	0	root
9	một	M	O	10	det
10	dạng	N	O	8	dob
11	u	A	O	10	nmod
12	lành	A	O	11	amod
13	hay	C	O	10	nmod
14	gặp	V	O	10	nmod
15	nhất	A	O	14	vmod
16	của	E	O	10	nmod
17	nam_giới	N	O	16	pob
18	trung_niên	A	O	17	nmod
19	.	CH	O	8	punct
1	Có	V	O	0	root
2	đến	E	O	1	vmod
3	trên	A	O	5	nmod
4	60%	M	O	5	det
5	nam_giới	N	O	2	pob
6	trên	E	O	1	loc
7	60	M	O	8	det
8	tuổi	N	O	6	pob
9	mắc	A	O	8	nmod
10	...	CH	O	1	punct
1	Người_bệnh	N	O	5	sub
2	u_xơ	A	O	1	nmod
3	tiền_liệt_tuyến	N	O	2	amod
4	nên	C	O	5	dep
5	ăn	V	O	0	root
6	gì	P	O	5	dob
7	?	CH	O	5	punct
1	U_xơ	N	O	3	sub
2	tiền_liệt_tuyến	N	O	1	nmod
3	là	V	O	0	root
4	căn_bệnh	N	O	3	dob
